Symbol,Name,BuiltOn
UM,UncleMine (UM),SOL
SFT,SportsFix (SFT),
IPT,Crypt-ON (IPT),
MTLX,Mettalex (MTLX),ETH
KIND,Kind Ads (KIND),
FPC,Futurepia (FPC),
B20,B20 (B20),ETH
FLY,Franklin (FLY),ETH
MDICE,Multidice (MDICE),
IZI,Izumi Finance (IZI),ETH
ITR,INTRO (ITR),
TLOS,Telos (TLOS),
FRM,Ferrum Network (FRM),"ETH,BNB"
U8D,Universal Dollar (U8D),ETH
GRW,GrowthCoin (GRW),
BKS,Barkis Network (BKS),
BWB,Bit World Token (BWB),
WNYC,Wrapped NewYorkCoin (WNYC),BNB
FROYO,Froyo Games (FROYO),BNB
RPM,Render Payment (RPM),
IFT,InvestFeed (IFT),
KRM,Karma (KRM),
NFY,Non-Fungible Yearn (NFY),ETH
ICE,Decentral Games ICE (ICE),MATIC
LITHO,Lithosphere (LITHO),BNB
LYC,LycanCoin (LYC),
CCRB,CryptoCarbon (CCRB),
SCOOBY,Scooby coin (SCOOBY),
FANZ,FanChain (FANZ),
DNFT,DareNFT (DNFT),BNB
MEVR,Metaverse VR (MEVR),BNB
MNTG,Monetas (MNTG),BNB
EMC,Emercoin (EMC),
GMAT,GoWithMi (GMAT),ETH
SBE,Sombe (SBE),
IDIA,Impossible Finance Launchpad (IDIA),BNB
XAUT,Tether Gold (XAUT),ETH
UMK,UMKA (UMK),
CHESSCOIN,ChessCoin (CHESSCOIN),
COTI,COTI (COTI),"Mainnet,BNB"
TRIA,Triaconta (TRIA),
HASHT,HASH Token (HASHT),BNB
DCR,Decred (DCR),
SSX,SOMESING (SSX),
BMK,Benchmark (BMK),
USDA,USDA (USDA),
PRINT,Printer.Finance (PRINT),
X2Y2,X2Y2 (X2Y2),ETH
INX,Insight Protocol (INX),ETH
BTCGO,BitcoinGo (BTCGO),
IX,X-Block (IX),
HI,hi Dollar (HI),ETH
SATS,Satoshi (SATS),
ZINU,Zombie Inu (ZINU),ETH|BNB
BZ,Bit-Z (BZ),
DAPPT,Dapp Token (DAPPT),
IDEA,Ideaology (IDEA),
GHC,Galaxy Heroes Coin (GHC),BNB
CHECKR,CheckerChain (CHECKR),EGLD
IDV,Idavoll DAO (IDV),ETH
WORM,HealthyWorm (WORM),
HBOT,Hummingbot (HBOT),ETH
DOCK,Dock.io (DOCK),ETH
SRC,SecureCoin (SRC),
XPB,Pebble Coin (XPB),
BNN,Banyan Network (BNN),
BUD,Buddy (BUD),
VTM,Victorieum (VTM),
ZLK,Zenlink Network (ZLK),MOVR
RCH,Rich (RCH),BNB
OBX,OpenBlox (OBX),AVAX
PIO,Pioneershares (PIO),
EOC,EveryonesCoin (EOC),
NANO,Nano (NANO),
UTT,United Traders Token (UTT),ETH
DMS,Documentchain (DMS),
MXW,Maxonrow (MXW),
CB,COINBIG (CB),
NAH,Strayacoin (NAH),
NZDX,eToro New Zealand Dollar (NZDX),
EC,Echoin (EC),
PKN,Poken (PKN),BNB
SFD,SafeDeal (SFD),
COE,CoEval (COE),
CONT,Contentos (CONT),ETH
EVED,Evedo (EVED),ETH
CBNT,Create Breaking News Together (CBNT),
MVP,MVP Coin (MVP),BNB
LINKC,LINKCHAIN (LINKC),
AYA,Aryacoin (AYA),
FYZ,Fyooz (FYZ),ETH
YOVI,YobitVirtualCoin (YOVI),
HIVE,Hive (HIVE),
SMG,Smaugs NFT (SMG),BNB
XNFT,xNFT Protocol (XNFT),HT
DOLLARCOIN,DollarCoin (DOLLARCOIN),
J,JoinCoin (J),
CRYPTOE,Cryptoenter (CRYPTOE),
MEWTWO,Mewtwo Inu (MEWTWO),ETH
VRC,VeriCoin (VRC),
BLITZ,BlitzCoin (BLITZ),
MMNXT,MMNXT (MMNXT),
NPER,NPER (NPER),
PACOCA,Pacoca (PACOCA),BNB
FDC,Fidance (FDC),BNB
INVC,Invacio (INVC),
SCROOGE,Scrooge (SCROOGE),BNB
ECP,ECP+ Technology (ECP),ETH
FLX,Reflexer Ungovernance Token (FLX),ETH
BIDCOM,Bidcommerce (BIDCOM),BNB
SHIELD,Crypto Shield (SHIELD),BNB
XPLA,XPLA (XPLA),
PIXEL,PixelVerse (PIXEL),"ETH,BNB"
CAR,CarBlock (CAR),
PSC,PSC Token (PSC),
DKA,dKargo (DKA),ETH
NFTYP,NFTY DeFi Protocol (NFTYP),ETH
IAM,IAME Identity (IAM),
ZT,ZBG Token (ZT),
LUA,Lua Token (LUA),ETH
EARTHCOIN,EarthCoin (EARTHCOIN),ETH
SAFEX,SafeExchangeCoin (SAFEX),OMNI
EBET,EthBet (EBET),
GTX,GALLACTIC (GTX),
UNIQUE,Unique One (UNIQUE),
HBTC,Huobi BTC (HBTC),ETH
TSCT,Transient (TSCT),"ETH,BNB"
RPD,Rapids (RPD),
CORN,CORN (CORN),
AGLD,Adventure Gold (AGLD),ETH
EGI,eGame (EGI),ETH
BFLOKI,BurnFloki (BFLOKI),BNB
ELG,EscoinToken (ELG),ETH
ENT,Eternity (ENT),
UKG,UnikoinGold (UKG),
FLIP,BitFlip (FLIP),
SCC,StockChain Coin (SCC),
BZL,BZLCoin (BZL),
HDRN,Hedron (HDRN),ETH
MMPRO,Market Making Pro (MMPRO),BNB
DS,DeStorage (DS),ETH
MMT,Master MIX Token (MMT),
COKE,Cocaine Cowboy Shards (COKE),ETH
SHON,ShonToken (SHON),BNB
DMLG,Demole (DMLG),BNB
XTAG,xHashtag (XTAG),SOL
GRIDCOIN,GridCoin (GRIDCOIN),
ALCE,Alcedo (ALCE),
QBIT,Project Quantum (QBIT),BNB
SOSNOVKINO,Sosnovkino (SOSNOVKINO),
RTM,Raptoreum (RTM),
MTZ,Monetizr (MTZ),
GEEQ,Geeq (GEEQ),
XFTC,Offshift (XFTC),
QUICK,Quickswap (QUICK),ETH
DSH,Dashcoin (DSH),
CPEX,CoinPulseToken (CPEX),
NRVE,Narrative (NRVE),
XSP,XSwap (XSP),
ZIK,Ziktalk (ZIK),Luniverse
MIDASDOLLAR,Midas Dollar Share (MIDASDOLLAR),
IPC,IPChain (IPC),
AEVO,Always Evolving (AEVO),
ANB,Angryb (ANB),ETH
BTQ,BitQuark (BTQ),
MESH,MeshBox (MESH),
CHEESUS,Cheesus (CHEESUS),BNB
PSTAKE,pSTAKE Finance (PSTAKE),ETH
PCR,Paycer Protocol (PCR),MATIC
FUTURE,FutureCoin (FUTURE),BNB
AMPLIFI,AmpliFi (AMPLIFI),ETH
USDT,Tether (USDT),"ETH,BTC,EOS,TRX,ALGO,SLP,OMG"
KCT,Konnect (KCT),ETH
WZRD,Wizardia (WZRD),BNB
